BPE 2016 - Base permanente des équipements : commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 11/07/2016       Géographie au 01/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee, Base permanente des équipements 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code IRIS,Libellé IRIS,COM,Libellé commune ou ARM,Région,Département,Hypermarché,Supermarché,Grande surface de bricolage,Supérette,Epicerie,Boulangerie,Boucherie charcuterie,Produits surgelés,Poissonnerie,Librairie papeterie journaux,Magasin de vêtements,Magasin d'équipements du foyer,Magasin de chaussures,Magasin d'électroménager et de matériel audio-vidéo,Magasin de meubles,Magasin d'articles de sports et de loisirs,Magasin de revêtements murs et sols,Droguerie quincaillerie bricolage,Parfumerie,Horlogerie Bijouterie,Fleuriste,Magasin d'optique,Magasin de matériel médical et orthopédique,Station service
IRIS,LIB_IRIS,COM,LIB_COM,REG,DEP,NB_B101,NB_B102,NB_B103,NB_B201,NB_B202,NB_B203,NB_B204,NB_B205,NB_B206,NB_B301,NB_B302,NB_B303,NB_B304,NB_B305,NB_B306,NB_B307,NB_B308,NB_B309,NB_B310,NB_B311,NB_B312,NB_B313,NB_B315,NB_B316
010040101,Les Perouses-Triangle d'Activite,01004,Ambérieu-en-Bugey,84,01,0,3,3,1,1,2,2,1,0,1,9,4,2,2,7,3,0,1,2,1,1,2,0,0
010040102,Longeray-Gare,01004,Ambérieu-en-Bugey,84,01,0,0,0,0,3,2,3,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0
010040201,Centre-St Germain-Vareilles,01004,Ambérieu-en-Bugey,84,01,0,0,0,0,1,6,3,0,0,1,13,1,4,1,2,1,0,0,0,2,2,4,1,0
010040202,Tiret-Les Allymes,01004,Ambérieu-en-Bugey,84,01,0,1,0,0,1,0,0,0,0,1,4,1,0,1,1,2,0,1,1,0,1,1,2,0
01004ZZZZ,Non localisé à l'iris,01004,Ambérieu-en-Bugey,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
010330101,Coupy-Vanchy,01033,Bellegarde-sur-Valserine,84,01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
010330102,Centre Ville,01033,Bellegarde-sur-Valserine,84,01,0,1,0,0,5,5,4,0,0,6,6,0,1,2,0,0,0,0,2,2,2,3,2,0
010330201,Arc Vouvray-Gare-Chatillon,01033,Bellegarde-sur-Valserine,84,01,1,0,0,0,0,3,0,0,0,0,2,1,0,1,0,1,0,1,1,0,0,1,0,0
010330202,Plateau de Musinens,01033,Bellegarde-sur-Valserine,84,01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
